Reservoir,Nb,U/Pb,La,Rb,Ba,Th/U,Location
DM,14.8,0.254237288,13.75,,47.1,3.166666667,
DM,7.7,0.25,6.87,,33.1,3.117647059,
DM,6.86,0.217391304,6.22,,26.6,2.933333333,
DM,6.03,0.222222222,5.57,,25.1,2.714285714,
DM,15.12,0.416666667,16.07,,54.4,2.4,
DM,4.2,,,2.86,,,
DM,0.86,0.144444444,2.19,0.635,4.33,,
DM,0.6,0.059665871,2.89,1.17,3.78,,
DM,0.78,0.148288973,1.87,0.718,2.77,,
DM,10.7,0.240384615,11.92,,26,2.76,
DM,4.92,0.166666667,4.64,,14.5,2.9,
DM,4.28,0.196078431,4.81,,12.5,2.6,
DM,2.61,0.146341463,3.17,,8.9,2.666666667,
DM,2.36,0.176470588,2.77,,6.3,2,
DM,5.12,0.203389831,5.61,,14.4,2.416666667,
DM,3.15,0.181818182,3.91,,8.8,2.375,
DM,3.864,0.222222222,4.32,1.91,11,2.372340426,
DM,4.61,0.177419355,5.26,,15.3,2.545454545,
DM,4.79,0.20754717,5.44,,13.4,2.454545455,
DM,3.63,0.173594132,3.8,,14.62,3.366197183,
DM,3.09,0.047770701,4.77,,5.91,3.5,
DM,2.45,0.030015798,3.23,0.2,4.78,4.578947368,
DM,19.52,0.18744186,14.53,10.12,128.58,2.967741935,
DM,3.91,0.678062678,3.83,1.62,11.22,0.945378151,
DM,5.39,0.330241187,5.19,2.55,21.48,1.859550562,
DM,0.88,0.043918919,1.91,,3.24,4.153846154,
DM,0.6,0.097435897,1.29,0.12,2.59,2.368421053,
DM,4.29,0.185810811,4.51,1.74,16.95,2.472727273,
DM,1.17,0.142857143,2.27,,2.5,1,
DM,1.04,0.388888889,1.46,0.02,1.34,1.857142857,
DM,1.24,0.43373494,2.34,0.03,2.2,0.972222222,
DM,1.36,0.43877551,2.46,0.1,2.59,0.906976744,
DM,2.84,0.129129129,4.27,,3.79,2.279069767,
DM,2.85,0.169329073,4.29,,3.96,2.150943396,
DM,1.33,0.09976247,2.42,0.36,11.33,2.30952381,
DM,1.81,0.137931034,2.65,0.14,2.9,2.3125,
DM,1.54,0.147147147,2.45,0.29,3.17,0.897959184,
DM,1.84,0.11875,3.04,0.08,4.64,2.684210526,
DM,2.06,0.031161473,3.19,,3.79,6.181818182,
DM,5.79,0.194029851,7.25,,12.2,2.384615385,
DM,3.06,,4.67,,10.6,,
DM,4.23,0.183673469,5.15,,9.9,2.444444444,
DM,2.19,0.113636364,2.9,,5.4,2.2,
DM,2.32,0.196721311,3.14,,7.4,1.083333333,
DM,5.86,0.244067797,4.94,3.57,40.3,2.951388889,
DM,,0.100457317,,,,3.509863429,
DM,,0.127565392,,,,3.659305994,
DM,1.82,0.16988417,2.43,0.84,8.32,8,
DM,,0.084615385,,,,3.166144201,
DM,3.1,,4.28,,10,,
DM,2.98,,4.04,,22.4,,
DM,3.09,,3.78,,10.6,,
DM,,,4.06,,11.4,,
DM,2.94,,4.23,,10.1,,
DM,3.09,,3.9,,11.5,,
DM,,,3.8,,13.7,,
DM,3.03,,3.76,,11.8,,
DM,1.57,,3.58,0.529,,,
DM,1.1,,,0.9,,,
DM,0.75,0.042704626,2,2.4,14.06,2.291666667,
DM,0.64,0.063636364,1.63,1.32,7.32,1.642857143,
DM,3.18,0.173333333,4.84,3.78,24.4,1.946153846,
DM,2.51,0.100487805,4.36,4.7,40.13,1.912621359,
DM,1.1,,,0.268,,,
DM,1.23,,3.14,0.212,,,
DM,1.21,,3.22,0.069,,,
DM,0.74,,2.47,1.164,,,
DM,0.62,,1.89,0.108,,,
DM,1.9,0.125,2.3,0.17,7,5,
DM,2.25,,2.3,,,,
DM,3.65,,4.28,,,,
DM,0.639,0.118380062,1.18,2.96,8.18,1.684210526,
DM,,,16.13,20.5,185.5,,
DM,11.9,0.079295154,11.52,3.61,44,3.666666667,
DM,13.36,0.080321285,12.95,4.72,51,3.9,
DM,,,21.38,8.53,77.9,,
DM,,,14.23,5.05,55.8,,
DM,14.5,0.080321285,12.95,4.71,51,3.9,
DM,12.8,0.079295154,11.52,3.61,44,3.666666667,
DM,3.03,0.234962406,3.91,6.41,13.1,1.552,
DM,1.47,0.847599165,2.58,5.44,31.5,0.275862069,
DM,,,,0.86,11.9,,
DM,,,3.51,5,16.2,,
DM,,,4.69,,24,,
DM,,,3.06,1.55,16.3,,
DM,2.17,0.036764706,3.05,1.36,22.37,3.4,
DM,,,6.8,2.28,29.3,,
DM,,,13.2,5.12,54,,
DM,,,9.79,3.15,42.5,,
DM,,,13.1,1.39,56.5,,
DM,3.44,0.064814815,4.46,1.34,22,3.142857143,
DM,,,2.58,0.84,17.6,,
DM,,,9.57,,54.3,,
DM,,,11.1,6.9,53.9,,
DM,9,0.101123596,7.92,2.25,34,4.111111111,
DM,5.7,0.064814815,4.46,1.34,22,3.142857143,
DM,5.71,0.101123596,7.92,2.25,34,4.111111111,
DM,1.33,0.055555556,1.92,0.22,6.43,3,
DM,,,2.04,0.325,7.2,,
DM,,,,0.631,9.3,,
DM,,,2.58,0.487,9.1,,
DM,,,3.05,,10.2,,
DM,,,2.89,,9.8,,
DM,1.76,1.128078818,2.48,3.12,6.7,0.279475983,
DM,3.05,0.355839416,3.77,24.3,93,1.097435897,
DM,16.8,0.202531646,13.41,7.66,112.2,3.625,
DM,10.57,0.174603175,9.77,4.07,97.59,3.590909091,
DM,12.86,0.205882353,10.85,6.08,82.08,3.142857143,
DM,,,,6.03,65.2,,
DM,15.72,0.260869565,12.83,7.96,106.1,3,
DM,19.92,0.2,16.2,7.63,135.7,3.941176471,
DM,13.32,0.184210526,11.88,6.38,156.9,3.428571429,
DM,15.31,0.21641791,11.29,7.93,98.3,3.24137931,
DM,0.797,0.667721519,1.64,2.57,2.26,0.293838863,
DM,4.58,0.092783505,5.19,1.79,46,3.555555556,
DM,9.2,0.260869565,7,2.24,58.33,3.111111111,
DM,18.64,0.295652174,12.8,7.99,118.6,3.382352941,
DM,3.63,0.238095238,3.38,1.75,34.19,2.4,
DM,5.23,0.28610729,6.3,6.77,32.3,1.831730769,
DM,1.11,0.144032922,1.55,0.658,3.76,2.542857143,
DM,2.53,0.180360721,3.07,2.59,11.9,2.333333333,
DM,5.36,0.390625,5.32,1.46,28,3.008,
DM,2.54,0.22392638,4.39,2.47,31.8,1.48630137,
DM,1.94,0.227074236,2.66,2.04,22.4,1.605769231,
DM,2.02,0.27672956,3.13,5.02,10.8,1.121212121,
DM,1.26,0.381443299,1.68,6.43,14.2,0.828828829,
DM,0.403,0.119341564,0.63,2.16,0.8,1.482758621,
DM,1.06,0.263959391,1.71,5.88,26.2,0.711538462,
DM,0.996,0.493181818,2.07,3.6,26.8,0.373271889,
DM,0.62,0.219123506,0.916,1.65,3.17,0.854545455,
DM,0.75,0.463556851,1.7,2.19,28.3,0.465408805,
DM,0.598,0.625,1.16,5.36,6.6,0.224242424,
DM,,,23,0.8,12,,
DM,,,21,,185,,
DM,,,7,,27,,
DM,,,15,,11,,
DM,,,11,4.1,50,,
DM,0.716,0.207236842,1.4,0.47,6.5,0.714285714,
DM,,,1.3,,,,
DM,2.09,,2.2,0.588,6.6,,
